"","Name","Neighborhood","lat","long","Rating","Stars","Reviews","Address","Zip","Groups","Credit","Parking","Attire","Price","Kids","Reservation","Deliver","TakeOut","Waiter","Outdoor","Wifi","Meal","Alcohol","Noise","TV","Catter","Ambience","Wheelchair"
"114","Taiwan Restaurant","Downtown Berkeley","37.872146","-122.269043","3.5 star rating","3.5","174","2071 University Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","No","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"115","India Palace Restaurant","Downtown Berkeley","37.872238","-122.267285","3.0 star rating","3.0","109","2160 University Ave","","Yes","Yes","Street","Casual","$$","No","Yes","Yes","Yes","Yes","No","No","Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"116","La Cascada Taqueria","Downtown Berkeley","37.870534","-122.266305","3.0 star rating","3.0","93","2164 Center St","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","Free","Lunch","No","Average","No","","Casual","Yes"
"117","K's Internet Cafe","Downtown Berkeley","37.869997","-122.270525","3.5 star rating","3.5","13","2002 Center St","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","Free","","No","","","","","Yes"
"118","Little Hunan","Downtown Berkeley","37.870972","-122.268289","3.5 star rating","3.5","61","125 Berkeley Sq","","Yes","No","Street","Casual","$","Yes","No","Yes","Yes","Yes","No","No","Lunch, Dinner","Beer & Wine Only","Average","No","No","","Yes"
"119","Original Pollo","Downtown Berkeley","37.871054","-122.267867","3.5 star rating","3.5","52","100 Berkeley Sq","","No","No","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch, Breakfast","No","Average","Yes","","","Yes"
"120","No Name Pizza Place","Downtown Berkeley","37.868584","-122.267995","4.0 star rating","4.0","1","2244 Shattuck Avebetween Allston Way & Kittredge St","","","","","","","","","","","","","","","","","","","",""
"121","Taco Truck","Downtown Berkeley","37.869981","-122.270542","4.0 star rating","4.0","1","Center St and Milvia Stacross from Berkeley Community College","","","","","","","","","","","","","","","","","","","",""
"122","Pizzavore","Downtown Berkeley","37.870119","-122.267194","3.5 star rating","3.5","9","2124 Center St","","Yes","Yes","","Casual","$","Yes","No","No","Yes","No","Yes","","","No","","","","","Yes"
"123","Ichiban Restaurant","Downtown Berkeley","37.871899","-122.267998","3.0 star rating","3.0","110","2017 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","","Dinner","Beer & Wine Only","Quiet","Yes","Yes","","Yes"
"124","Herbivore","Downtown Berkeley","37.864876","-122.267413","3.5 star rating","3.5","421","2451 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","No","Lunch, Dinner","Full Bar","Average","No","No","Casual","Yes"
"125","Tuk Tuk Thai Cafe","Downtown Berkeley","37.864544","-122.267543","3.0 star rating","3.0","372","2468 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","Yes","Yes","Casual","Yes"
"126","Mel's Pizza","Downtown Berkeley","37.868655","-122.268006","3.0 star rating","3.0","1","2240 Shattuck Ave","","","","","","","","","","","","","","","","","","","",""
"127","Casa Bernal Taqueria","Downtown Berkeley","37.870647","-122.268256","3.0 star rating","3.0","1","2122 Shattuck Ave","","Yes","","","","","","","","","","","","","","","","","",""
"128","Sashimi Boat","Downtown Berkeley","37.871601","-122.268997","3.0 star rating","3.0","1","2016 Shattuck Avenue","","","Yes","","Casual","$$$","","","","","","","","","","","","","",""
"129","Afghan Oasis","Downtown Berkeley","37.869202","-122.268997","2.5 star rating","2.5","2","2086 Allston Way","","","","","","","","","","","","","","","","","","","",""
"130","Saigon Express","Downtown Berkeley","37.871761","-122.267764","3.0 star rating","3.0","98","2045 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","Quiet","No","","","Yes"
"131","Extreme Pizza","Downtown Berkeley","37.866366","-122.268006","3.0 star rating","3.0","129","2352 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","Yes","Yes","No","Yes","","Late Night, Lunch, Dinner","Beer & Wine Only","","","","","Yes"
"132","Looney's SmokeHouse BBQ","Downtown Berkeley","37.867630","-122.266190","3.0 star rating","3.0","181","2190 Bancroft Way","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","","Lunch, Dinner","Beer & Wine Only","Average","Yes","","Casual","Yes"
"133","Cafe Rio","Downtown Berkeley","37.870490","-122.266616","2.5 star rating","2.5","17","2146 Center St","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","Yes","Free","Lunch, Breakfast","No","Average","","","","Yes"
"134","Little Mandarin","Downtown Berkeley","37.870499","-122.267998","3.0 star rating","3.0","24","139 Berkeley Sq","","No","No","Street","Casual","$","Yes","No","No","Yes","No","Yes","","","","","","","","Yes"
"135","Truly Mediterranean","Downtown Berkeley","37.872473","-122.268640","3.0 star rating","3.0","6","1984 Shattuck Ave","","","","","","","","","","","","","","","","","","","",""
"136","Le Regal","Downtown Berkeley","37.870255","-122.267196","3.0 star rating","3.0","83","2126 Ctr St","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","","","","","Yes"
"137","Whats Up Dog","Downtown Berkeley","37.870536","-122.270500","2.5 star rating","2.5","2","2109 Milvia St","","No","","","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","","","","","Yes"
"138","Brazil Cafe Truck","Downtown Berkeley","37.872684","-122.266634","2.5 star rating","2.5","3","2161 University Ave","","No","","","Casual","","","","","","","Yes","","","","Average","","","",""
"139","Heavenly BBQ & Catering","Downtown Berkeley","NA","NA","2.0 star rating","2.0","1","","","","","","","","","","","","","No","","","","","","Yes","",""
"140","Ryowa","Downtown Berkeley","37.871994","-122.269028","3.0 star rating","3.0","326","2068 University Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","Quiet","Yes","No","Casual","Yes"
"141","BurgerMeister","Downtown Berkeley","37.868694","-122.267794","3.0 star rating","3.0","160","2237 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","Beer & Wine Only","Average","Yes","No","Casual","Yes"
"142","Twisters Mediterranean Wrap","Downtown Berkeley","37.869877","-122.267801","2.5 star rating","2.5","9","2177 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","","Yes","No","Yes","","Lunch","No","","","","Casual","Yes"
"143","Alohana Hawaiian Grill","Downtown Berkeley","37.870892","-122.268278","3.0 star rating","3.0","43","2116 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","","","","","","Yes"
"144","El Sombrero Taqueria","Downtown Berkeley","37.872229","-122.268347","3.0 star rating","3.0","64","2101 University Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Quiet","No","Yes","","Yes"
"145","Lox Stock & Bagel","Downtown Berkeley","37.869247","-122.269442","3.0 star rating","3.0","16","2043 Allston Way","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","","Breakfast","No","","","","","Yes"
"146","Lucre Lounge & Restaurant","Downtown Berkeley","37.869202","-122.268997","2.0 star rating","2.0","2","2086 Allston Way","","","","","","","","","","","","","","","","","","","",""
"147","Domino's Pizza","Downtown Berkeley","37.872405","-122.267558","1.0 star rating","1.0","1","2127 University Ave","","","Yes","","","$","","","","","","","","","","","","","",""
"148","New China Express","Downtown Berkeley","37.871473","-122.268462","2.5 star rating","2.5","10","2024 Shattuck Ave","","No","No","","Casual","$","Yes","No","No","Yes","No","No","","","No","","","","","Yes"
"149","Lee's Deli","Downtown Berkeley","37.870666","-122.268625","2.5 star rating","2.5","24","2116 Shattuck Ave","","Yes","Yes","Garage, Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch, Dinner, Brunch","No","Very Loud","Yes","","","Yes"
"150","Peking Express Chinese Restaurant","Downtown Berkeley","37.870033","-122.269065","2.5 star rating","2.5","39","2068 Center St","","Yes","Yes","Garage, Street","Casual","$","No","No","No","Yes","No","No","No","Lunch","No","Average","No","No","","Yes"
"151","Meridian","Downtown Berkeley","37.871925","-122.269614","3.0 star rating","3.0","15","2050 University Ave","","Yes","Yes","Street","Casual","","Yes","","","Yes","Yes","No","","","Beer & Wine Only","","Yes","","","Yes"
"152","The Terrace Cafe","Downtown Berkeley","37.872222","-122.268403","1.0 star rating","1.0","2","UC Berkeley CampusBechtel Building Rooftop","","No","Yes","","Casual","$$","No","No","No","Yes","No","Yes","Paid","","No","","","","","No"
"153","Round Table Pizza","Downtown Berkeley","37.872101","-122.269997","2.5 star rating","2.5","14","2017 University Avenue","","Yes","Yes","","Casual","$","Yes","No","Yes","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","","","","","Yes"
"154","McDonald's","Downtown Berkeley","37.872239","-122.268404","2.5 star rating","2.5","72","1998 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","Free","Lunch, Breakfast","No","Very Loud","Yes","No","","Yes"
"155","Papa John's Pizza","Downtown Berkeley","37.868884","-122.268179","2.5 star rating","2.5","33","2222 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","Yes","Yes","No","No","No","Lunch, Dinner","No","Average","Yes","","","Yes"
"156","Mediterranean Wraps","Downtown Berkeley","37.869895","-122.267865","2.5 star rating","2.5","12","2177 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","","No","","","","","Yes"
"157","Viceroy Indian Cuisine","Downtown Berkeley","37.871916","-122.268378","2.5 star rating","2.5","85","21 Shattuck Sq","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","Free","Lunch, Dinner","Beer & Wine Only","Average","Yes","Yes","Casual","Yes"
"158","The Original Mel's","Downtown Berkeley","37.868627","-122.267980","2.0 star rating","2.0","147","2240 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Late Night, Lunch, Dinner, Breakfast","No","Average","No","No","Casual","Yes"
"159","Fin's Restaurant","Downtown Berkeley","37.868655","-122.268006","1.5 star rating","1.5","12","2240 Shattuck Ave","","No","Yes","Street","Casual","$","No","No","","Yes","Yes","No","","","","","","","","Yes"
"160","Pasand Madras Indian Cuisine","Downtown Berkeley","37.867688","-122.267879","2.0 star rating","2.0","48","2286 Shattuck Ave","","Yes","Yes","","Casual","$$","No","No","No","Yes","Yes","No","","","No","","","","","Yes"
"161","Subway Sandwiches & Salads","Downtown Berkeley","37.870899","-122.271004","1.5 star rating","1.5","14","92 Shattuck Sq","","No","Yes","","Casual","$","Yes","No","No","Yes","No","No","","","No","","","","","Yes"
"162","Thai Garlic","Downtown Berkeley","37.871799","-122.269997","","","","2042 University Avenue","","","","","","","","","","","","","","","","","","","",""
"163","Nanayiro Restaurant","Downtown Berkeley","37.865898","-122.266998","","","","2399 Shattuck Avenue","","","","","","","","","","","","","","","","","","","",""
"164","May Follower","Downtown Berkeley","37.872101","-122.266998","","","","2156 University Avenue","","","","","","","","","","","","","","","","","","","",""
"165","B & L Deli","Downtown Berkeley","37.863800","-122.272003","","","","2439 Martin Luther King J","","","","","","","","","","","","","","","","","","","",""
"166","Dollar Curry House","Downtown Berkeley","37.870127","-122.265887","","","","2134 Oxford St","","","Yes","","","","","","","","","","","","","","","","",""
"167","Sam's Kebab Cafe","Downtown Berkeley","37.870875","-122.270671","","","","2101 Milvia Ave","","No","Yes","Street","Casual","$","Yes","No","","Yes","No","","","","","","","","",""
"168","Boat Noodles House","Downtown Berkeley","37.871953","-122.268381","","","","2016 Shattuck Ave","","Yes","No","","Casual","$","Yes","","","","","No","","","","","","","","Yes"
"169","Vege House","Downtown Berkeley","37.871635","-122.269686","","","","2042 University Ave","","","","","","","","","","","","","","","","","","","",""
"170","Zachary's Chicago Pizza","East Solano Ave","37.891402","-122.278512","4.5 star rating","4.5","994","1853 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Loud","No","No","Casual","Yes"
"171","Nature's Express","East Solano Ave","37.891649","-122.279267","4.0 star rating","4.0","113","1823 Solano Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"172","Ajanta Restaurant","East Solano Ave","37.891446","-122.277547","4.0 star rating","4.0","280","1888 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","No","","Yes"
"173","Bangkok Jam","East Solano Ave","37.891445","-122.277292","4.0 star rating","4.0","44","1892 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"174","Kirin Chinese Restaurant","East Solano Ave","37.891278","-122.280792","3.5 star rating","3.5","150","1767 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Dinner","Beer & Wine Only","Average","No","","","Yes"
"175","Jerusalem Organic Kitchen","East Solano Ave","37.891481","-122.277184","3.5 star rating","3.5","74","1897 Solano Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Quiet","No","","Casual","Yes"
"176","Sweet Basil Thai","East Solano Ave","37.891238","-122.281457","3.0 star rating","3.0","69","1736 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","","Dinner","Beer & Wine Only","Average","No","","","Yes"
"177","Khana Peena Indian Cuisine","East Solano Ave","37.891432","-122.277519","3.0 star rating","3.0","105","1889 Solano Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Dinner","Beer & Wine Only","Average","No","Yes","","Yes"
"178","Cactus Taqueria","East Solano Ave","37.891727","-122.277858","3.5 star rating","3.5","203","1881 Solano Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"179","Vasilio's Kitchen","East Solano Ave","37.891300","-122.278999","","","","1850 Solano Avenue","","","","","","","","","","","","","","","","","","","",""
"180","Ashby Marketplace","Elmwood","37.856723","-122.253521","4.5 star rating","4.5","29","2642 Ashby Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","","","","Quiet","No","Yes","Casual","Yes"
"181","Holy Land Restaurant","Elmwood","37.856905","-122.253026","4.0 star rating","4.0","205","2965 College Ave","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Lunch","Beer & Wine Only","Quiet","No","","Casual","Yes"
"182","Trattoria La Siciliana","Elmwood","37.856187","-122.252944","3.5 star rating","3.5","736","2993 College Ave","","No","No","Street","Casual","$$","No","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Very Loud","No","Yes","Casual","No"
"183","Summer Kitchen & Bake Shop","Elmwood","37.857268","-122.253295","4.0 star rating","4.0","146","2944 College Ave","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","No","Yes","Casual","Yes"
"184","Be Bop","Elmwood","37.856636","-122.252987","4.0 star rating","4.0","22","2975 College Ave","","Yes","Yes","Street","Casual","$$","Yes","No","","Yes","Yes","No","","Dinner","No","Average","No","","Casual",""
"185","House of Curries","Elmwood","37.856445","-122.252990","3.5 star rating","3.5","354","2984 College Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch, Dinner","No","Average","No","","Casual","Yes"
"186","Manpuku","Elmwood","37.856606","-122.253003","3.5 star rating","3.5","719","2977 College Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"187","Gordo Taqueria","Elmwood","37.856287","-122.252954","4.0 star rating","4.0","370","2989 College Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","No","No","Lunch, Dinner","No","Average","No","No","Casual","Yes"
"188","La Mediterranee","Elmwood","37.857597","-122.253124","3.5 star rating","3.5","652","2936 College Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Average","No","Yes","Casual","Yes"
"189","King Yen Restaurant","Elmwood","37.856136","-122.252962","3.5 star rating","3.5","107","2995 College Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Lunch, Dinner","Beer & Wine Only","Quiet","No","","Romantic, Casual","Yes"
"190","Espresso Roma","Elmwood","37.857061","-122.253041","3.5 star rating","3.5","151","2960 College Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","Free","Lunch","Beer & Wine Only","Average","No","","Casual","Yes"
"191","Shen Hua","Elmwood","37.858002","-122.253163","3.0 star rating","3.0","231","2914 College Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Full Bar","Average","No","","Casual","Yes"
"192","Filippo's","Elmwood","37.857800","-122.252998","3.0 star rating","3.0","175","2930 College Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"193","Ristorante Toscano","Elmwood","37.856499","-122.252998","","","","2985 College Avenue","","","","","","","","","","","","","","","","","","","",""
"194","A G Ferrari Catering","Elmwood","37.858398","-122.252998","","","","2905 College Avenue","","","","","","","","","","","","","","","","","","","",""
"195","Voulez-Vous","Elmwood","37.857800","-122.252998","","","","2930 College Avenue","","","","","","","","","","","","","","","","","","","",""
"196","Troy Greek Cuisine","Elmwood","37.856384","-122.252964","5.0 star rating","5.0","2","2985 College Ave","","No","Yes","","Casual","$","No","","","Yes","Yes","No","No","","Beer & Wine Only","Quiet","No","","",""
"197","Bette's Oceanview Diner","Fourth Street","37.869811","-122.300627","4.0 star rating","4.0","699","1807 4th St","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","No","Breakfast","Beer & Wine Only","Average","No","No","Casual","Yes"
"198","Bette's-To-Go","Fourth Street","37.870300","-122.301003","4.0 star rating","4.0","107","1807 4th Street","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Average","No","No","","Yes"
"199","Tacubaya","Fourth Street","37.869215","-122.300445","4.0 star rating","4.0","499","1788 4th St","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","No","Yes","","Lunch","Beer & Wine Only","Average","No","","Hipster, Casual","Yes"
"200","Zut!","Fourth Street","37.870161","-122.300713","3.5 star rating","3.5","137","1820 4th St","","Yes","Yes","Street, Private Lot","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Dinner","Full Bar","Average","No","No","Romantic, Classy, Casual","Yes"
"201","O Cham̩","Fourth Street","37.869544","-122.300512","3.5 star rating","3.5","222","1830 4th St","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","Yes","","Lunch, Dinner","Beer & Wine Only","Average","","","","Yes"
"202","Caf̩ Rouge","Fourth Street","37.870177","-122.300718","3.5 star rating","3.5","365","1782 4th St","","Yes","Yes","Street","Casual","$$$","No","Yes","No","Yes","Yes","Yes","No","Lunch, Dinner","Full Bar","Average","No","Yes","Casual","Yes"
"203","Spenger's Fresh Fish Grotto","Fourth Street","37.868650","-122.300267","2.5 star rating","2.5","371","1919 4th St","","Yes","Yes","Street, Private Lot","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Full Bar","Average","Yes","Yes","Casual","Yes"
"204","The Cheeseboard Pizza Collective","Gourmet Ghetto","37.879828","-122.269459","4.5 star rating","4.5","2095","1512 Shattuck Ave","","Yes","No","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","Beer & Wine Only","Loud","No","No","Casual","Yes"
"205","Karma Kitchen","Gourmet Ghetto","37.876353","-122.269260","4.0 star rating","4.0","38","1700 Shattuck Ave","","Yes","Yes","Street","Casual","$","Yes","No","No","No","Yes","No","","Lunch, Brunch","No","Average","No","No","","Yes"
"206","Gregoire","Gourmet Ghetto","37.878466","-122.268625","4.5 star rating","4.5","1058","2109 Cedar St","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Average","No","No","Casual","Yes"
"207","Chez Panisse Restaurant","Gourmet Ghetto","37.879590","-122.268862","4.5 star rating","4.5","1056","1517 Shattuck Ave","","No","Yes","Street","Dressy","$$$$","No","Yes","No","No","Yes","No","No","Dinner","Full Bar","Average","No","No","Classy, Intimate","Yes"
"208","Kingston 11 Cuisine","Gourmet Ghetto","37.877933","-122.269231","5.0 star rating","5.0","13","1620 Shattuck Ave","","Yes","No","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","","Dinner","Beer & Wine Only","Loud","No","Yes","Casual",""
"209","Lo Coco's Restaurant & Pizzeria","Gourmet Ghetto","37.881512","-122.269668","4.0 star rating","4.0","132","1400 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","","Romantic, Intimate","Yes"
"210","Chez Panisse Cafe","Gourmet Ghetto","37.879590","-122.268862","4.0 star rating","4.0","378","1517 Shattuck Ave","","Yes","Yes","Street","Casual","$$$","No","Yes","No","No","Yes","No","No","Dinner","Full Bar","Average","No","","Classy","No"
"211","Taste of the Himalayas","Gourmet Ghetto","37.876391","-122.269062","4.0 star rating","4.0","320","1700 Shattuck AveSte A","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Beer & Wine Only","Quiet","No","","Romantic, Intimate","Yes"
"212","Cha-Ya","Gourmet Ghetto","37.876899","-122.269005","4.0 star rating","4.0","394","1686 Shattuck Ave","","No","Yes","Street","Casual","$$","No","No","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","No","Casual, Intimate","Yes"
"213","Guerilla Cafe","Gourmet Ghetto","37.878044","-122.269123","4.0 star rating","4.0","318","1620 Shattuck Ave","","No","Yes","Street","Casual","$$","No","No","No","Yes","Yes","Yes","No","Breakfast","Beer & Wine Only","Average","No","No","Hipster","Yes"
"214","Imperial Tea Court","Gourmet Ghetto","37.879856","-122.269133","4.0 star rating","4.0","152","1511 Shattuck Ave","","Yes","Yes","Street","Casual","$$","No","No","No","Yes","Yes","Yes","No","Lunch","No","Quiet","No","No","Trendy, Casual, Intimate","Yes"
"215","Oriental Restaurant","Gourmet Ghetto","37.875100","-122.268791","4.0 star rating","4.0","72","1782 Shattuck Ave","","Yes","No","Street","Casual","$","Yes","No","No","Yes","Yes","No","","Lunch, Dinner","No","Quiet","No","","","Yes"
"216","Vegi Food","Gourmet Ghetto","37.880255","-122.269861","4.0 star rating","4.0","78","2085 Vine St","","Yes","No","Street","Casual","$","Yes","Yes","No","Yes","Yes","No","No","Lunch, Dinner","No","Quiet","No","","","Yes"
"217","Da Lian","Gourmet Ghetto","37.877015","-122.269018","3.5 star rating","3.5","137","1674 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"218","Cioccolata Di Vino","Gourmet Ghetto","37.874782","-122.268637","4.0 star rating","4.0","123","1801 Shattuck AveSte C","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","Yes","No","Dessert","Beer & Wine Only","Quiet","No","No","Romantic, Classy, Intimate","Yes"
"219","Trattoria Corso","Gourmet Ghetto","37.874934","-122.268785","3.5 star rating","3.5","273","1788 Shattuck Ave","","Yes","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","No","","Dinner","Full Bar","Average","Yes","","Romantic, Classy, Casual","Yes"
"220","Bistro Liaison","Gourmet Ghetto","37.874334","-122.268646","3.5 star rating","3.5","215","1849 Shattuck Ave","","No","Yes","Street","Casual","$$","No","Yes","No","Yes","Yes","Yes","","Dinner","Full Bar","Average","No","Yes","","Yes"
"221","Soop","Gourmet Ghetto","37.879812","-122.269110","3.5 star rating","3.5","91","1511 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","No","Lunch","No","Average","No","","Casual","Yes"
"222","Thai Delight Cuisine","Gourmet Ghetto","37.876591","-122.268952","3.5 star rating","3.5","168","1700 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","Yes","Yes","Yes","No","No","Dinner","Beer & Wine Only","Quiet","No","","","Yes"
"223","Barney's Gourmet Hamburger","Gourmet Ghetto","37.878058","-122.269211","3.5 star rating","3.5","321","1600 Shattuck AveSte 112","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","","Lunch, Dinner","Beer & Wine Only","Average","No","","Casual","Yes"
"224","C̩sar","Gourmet Ghetto","37.879670","-122.268879","3.5 star rating","3.5","407","1515 Shattuck Ave","","Yes","Yes","Street","Casual","$$$","No","No","No","No","Yes","Yes","No","Dinner","Full Bar","Average","No","","Hipster","Yes"
"225","Cha-Am Thai Restaurant","Gourmet Ghetto","37.879414","-122.269035","3.5 star rating","3.5","288","1543 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","No","Dinner","Beer & Wine Only","Average","No","","","No"
"226","Crepevine","Gourmet Ghetto","37.878394","-122.269164","3.5 star rating","3.5","197","1600 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","No","Lunch, Dinner, Breakfast, Brunch","Beer & Wine Only","Average","No","","Casual","Yes"
"227","Mint Leaf","Gourmet Ghetto","37.879729","-122.269162","3.5 star rating","3.5","173","1513 Shattuck Ave","","Yes","Yes","Street","Casual","$$","No","Yes","Yes","Yes","Yes","Yes","No","Dinner","Full Bar","Average","No","","Classy, Intimate","Yes"
"228","Kirala 2 Japanese Cuisine","Gourmet Ghetto","37.879812","-122.269110","3.5 star rating","3.5","68","1511 Shattuck AveSte D","","No","Yes","Street","Casual","$$","Yes","No","No","Yes","No","Yes","","Lunch","No","Average","","","Casual","Yes"
"229","Saul's Restaurant & Deli","Gourmet Ghetto","37.880706","-122.269121","3.5 star rating","3.5","638","1475 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","No","No","Yes","Yes","Yes","No","Lunch, Breakfast","Full Bar","Average","Yes","Yes","Casual","Yes"
"230","Picoso Taqueria","Gourmet Ghetto","37.879812","-122.269110","3.5 star rating","3.5","84","1511 Shattuck Ave","","No","Yes","Street","Casual","$","Yes","No","No","Yes","No","Yes","","Lunch","No","Average","No","","Casual","Yes"
"231","Toyo Japanese Restaurant","Gourmet Ghetto","37.880882","-122.269308","3.5 star rating","3.5","53","1463 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","No","","Lunch, Dinner","Beer & Wine Only","","","","","Yes"
"232","Oscar's","Gourmet Ghetto","37.873967","-122.268613","3.5 star rating","3.5","175","1890 Shattuck Ave","","Yes","Yes","Private Lot","Casual","$","Yes","No","No","Yes","No","No","No","Lunch","No","Average","Yes","No","Casual","Yes"
"233","Dara Thai Lao Cuisine","Gourmet Ghetto","37.878594","-122.268788","3.5 star rating","3.5","124","1549 Shattuck Ave","","Yes","Yes","Street","Casual","$$","Yes","Yes","No","Yes","Yes","Yes","No","Lunch, Dinner","Beer & Wine Only","Quiet","No","","","No"
